id,area,date,weather,landform,landform-text,landcover,landcover-text,landuse,landuse-text,boundaries,boundaries-text,sizes,sizes-text,routeways,routeways-text,structures,structures-text,water,water-text,enclosure,enclosure-text,views,views-text,landmarks,landmarks-text,scenic-text,activities-text,positive-text,negative-text
53,"ST. JOHN'S PRIMARY SCHOOL",,"",gently-undulating,,,"GREEN SCHOOL PLAYING FIELDS AND TARMACED PLAYGROUND",brownfield,,hedgerow trees,,irregular,"IRREGULAR SHAPED SCHOOL GROUNDS",,"SINGLE ACCESS POINT",,,,,enclosed open,"OPEN SPACE WITH AN ENCLOSED AREA",glimpsed,"GLIMPSED VIEWS TO THE NORTH EAST OF THE KELSTON HILLS",,,"GOOD OUTDOOR PLAY SPACE FOR THE CHILDREN SET BACK FROM THE ROAD. QUITE QUIET.","EDUCATIONAL ACTIVITIES. LEISURE AND WORKING ENVIRONMENT","GOOD LOCATION FOR SCHOOL SURROUNDED BY HOUSING DEVELOPMENTS","None"
59,"HAWTHORN LANE INCLUDING THE SURGERY, THE HAWTHORN CENTRE AND PROPERTIES ON SHERWOOD ROAD",2014-03-06,"dry",flat,,,"RESIDENTIAL",brownfield,,,,,,few-roads,,groups-of-dwellings,,,,enclosed intimate,,,"NO REAL VIEWS",,,"TRANQUIL ENVIRONMENT - A LOT OF ELDERLY AND DISABLED RESIDENTS","SOCIAL ACTIVITIES IN THE HAWTHORNS","GOOD SHELTERED HOUSING ACCOMMODATION IN BOTH HAWTHORNS CARE HOME AND IN THE SHELTERED HOUSING BUNGALOWS AND FLATS OFF HAWTHORN LANE, CLOSE TO LOCAL AMENTITIES","ON STREET PARKING ON PARK ROAD AND SHERWOOD ROAD"
12,"CHANDOS ROAD PLUS SUMMERLEAZE, DRYLEAZE, PRIORY ROAD AND THE SEWAGE WORKS",2013-02-06,"overcast",flat gently-undulating,,,"RESIDENTIAL CLOSE TO OPEN GREEN SPACE",brownfield,"RESIDENTIAL. THE SITE INCLUDES A SMALL SEWAGE WORKS",,,,,few-roads,,groups-of-dwellings,,,"RIVER AVON CLOSE BY",open,,glimpsed,"ACROSS TO THE HAMS AND KELSTON HILLS",buildings archaeology,"THE FRY'S CHOCOLATE FACTORY SOME PARTS OF WHICH ARE LISTED, THE ROMAN REMAINS AND ARCHAEOLOGICAL SITE CLOSE TO THE THE FACTORY ENTRANCE GATES (ON THE RIGHT). AVENUE OF TREES THAT HAVE TPO'S ON THEM, THE DISMANTLED FACTORY RAILWAY LINE","TRANQUIL SETTING - TINGED WITH SOME SADDNESS AT ITS LOST HISTORY. IT WAS PROBABLY A LIVELY BUSTLING PLACE BACK IN THE TIME WHEN THE FACTORY WAS RUNNING AT FULL CAPACITY - IT EVEN HAD ITS OWN RAILWAY.","SPORTING FACILITIES CLOSE BY OFFERING FOOTBALL, CRICKET, TENNIS, GOLF, RUNNING AND WALKING","QUIET ESTATE CLOSE TO GOOD SPORTS FACILITIES, AMENITIES OF THE TOWN CENTRE AND KEYNSHAM STATION FOR COMMUNTING","THE LOSS OF THE CHOCOLATE INDUSTRY AND THE RE-DEVELOPMENT AND ITS 430 HOUSES THAT ARE TO BE BUILT ON SOMERDALE ADDING TO CONGESTION OF THE ROAD SYSTEM IN THIS AREA, CLOSE TO THE SEWAGE WORKS WHICH CAN BE A BIT SMELLY"
93,"NORTH OF WINDRUSH ROAD INCLUDING BREACHES FARM HOUSE AND BREACHES BUNGALOW, LAMBOURN ROAD, CHANDAGS SHOPS AND PROPERTIES ON CHANDAG ROAD AND WINDRUSH ROAD",,,gently-undulating,,,"NONE",,"HOUSING",,"NONE",,"NONE",dense-road-network,,groups-of-dwellings,,,"NONE",tight vast,,long glimpsed,,,"NONE",,,"SHOPS & SCHOOLS NEARBY","TRAFFIC - MAIN ROAD ESTATE"
66,"PARK ROAD PLAY AREA",2013-11-18,"cloudy",flat,,parkland,,,"LEISURE ACTIVITIES ONLY",,"CHAIN LINK FENCING",small,,,"PATHWAY AT EACH END",,"NONE",,"NONE",enclosed,,,,,,"QUIET PEACEFUL AREA","AREA CONSISTS OF PLAY AREA (FENCED), MULTI BALL ACTIVITIES I.E. FOOTBALL & BASKET BALL, TEENAGE EQUIPMENT","ENCLOSED AREA THAT FEELS SAFE","LITTER, DOG FAECES"
49,"SOUTH OF QUEENS ROAD INCLUDING ST. FRANCIS CHURCH AND VICARAGE, PRINCESS CLOSE, CAMEROONS CLOSE AND A FEW PROPERTIES EAST OF TENBY ROAD AND WEST OF PARK ROAD",2014-02-01,"dry",gently-undulating,,,,,"HOUSING",,,,,dense-road-network winding,,village(s)/town groups-of-dwellings,,,,open,,glimpsed,,buildings,,"PLEASANT BUILT UP AREA - HARMONIOUS","LIVE & LEISURE","NICE LARGE HOUSES WELL SPACED","TRAFFIC"
70,"BROADMEAD INCLUDING BROADMEAD INDUSTRIAL ESTATE AND LANDING STAGES",2014-01-03,"grey overcast",flat,,open-farmland,,arable-farmland grassland grazing industrial brownfield,,clipped hedgerow with/without-trees fences walls,,small medium irregular,,few-roads narrow,"SINGLE NARROW ACCESS IN AND OUT OF THE SITE",,"ELECTRICAL WIRES SERVING INDUSTRIAL SITE - FEW SO NOT OBTRUSIVE",river,"RIVER AVON ON EDGE OF SITE",enclosed open,"INDUSTRIAL PART OF THE SITE AREA IS FAIRLY ENCLOSED",sweeping,,,,"CENTRALLY LOCATED IN THE GREEN BELT BETWEEN KEYNSHAM AND SALTFORD IN A RIVER LOCATION","BOATING AND FISHING, WALKING (RIVERSIDE FOOTPATH)","AREA OF WITH REASONABLY SIZED AGRICULTURAL FIELD","PRONE TO FLOODING - RESCUE OF TRAPPED MOTORIST 2012"
20,"BRISTOL GREEN BELT 1 - FROM STOCKWOOD VALE SOUTH TO LAYS FARM",2014-01-22,"sunny",steep-valley,"STEEP VALLEY PART OF THE VALLEY FLOOR",farmland-with-trees/woods,,grassland grazing,,hedgerow with/without-trees fences,,small medium irregular,,,"FOOTPATHS ONLY",,"STABLING ONLY",stream,,open,,sweeping,,,"NONE","LOVELY COUNTRYSIDE AT PEACE WITH THE WORLD. THE ONLY NOISE IF A BABBLING BROOK AND BIRDS IN THE TREES","THE ONLY ACTIVITY IS THE STABLING, HORSE BOXES AND RIDING","COMPLETELY RURAL WITH ONLY FOOTPATHS AND VIEWS UP THE VALLEY","NONE"
11,"ABBEY PARK, ABBEY CLOSE, THE AVENUE AND PART OF STATION ROAD",,"fair",flat,"GENTLE SLOPE TO NORTHERN EDGE OF THE AVENUE",,"MOSTLY URBAN - SMALL WOODED AREA AT END OF THE AVENUE",,,,,,,,"ACCESS TO KEYNSHAM STATION ON FOOT FROM STATION ROAD, FOOTPATH AT END OF AVENUE LEADS TO CROSSING POINT ON FOOT OF BY-PASS, PEDESTRIAN ACCESS TO KEYNSHAM MEMORIAL PARK AS SOUTH END OF ABBEY PARK",,"URBAN",,,,,,,archaeology,"SITE OF KEYNSHAM ABBEY - LITTLE REMAINS APART FROM A PILLAR IN THE GARDEN OF PROPERTY 1 IN ABBEY PARK. GRADE II LISTED ARCH IN STATION ROAD",,,,
108,"SOUTH OF COURTENAY ROAD (2) INCLUDING CADBURY ROAD, MAESBURY ROAD SILBURY RISE, CHALFIELD CLOSE, HARRINGTON DRIVE PLUS PROPERTIES ON COURTENAY ROAD",2014-02-13,"cloudy & cold",,"SLOPNG TO THE NORTH",open-farmland,"A LITTLE",,"HOUSING",hedgerow,,,,dense-road-network,,,"URBAN HOUSING",,"NONE APART FROM PONDS IN GARDENS",tight,,,"SOME VIEWS ACROSS FIELDS AND WOODLAND",,"NONE","SOME ACCESS TO RURAL LOCATIONS","WALKING, GARDENING, RAISING FAMILIES, COMMUTING","OPULENT AFFLUENT AREA, LARGISH HOUSING GENERALLY WELL MAINTAINED","BLAND FEATURELESS ENVIRONMENT"
