area-number,character-area,date,weather,topography,topography-text,layout,layout-text,spaces,spaces-text,greenery,greenery-text,wildlife,wildlife-text,roads,roads-text,landmarks,landmarks-text,views-out-text,views-in-text,buildings,buildings-text,roofs,roofs-text,materials,materials-text,details,details-text,positive-text,negative-text
53,ST. JOHN'S PRIMARY SCHOOL,,,hilly,GENTLE SLOPE ON THE SITE FROM WEST TO EAST DOWN THE SCHOOL DRIVE,clear-centre,SCHOOL LOCATED CLEARLY WITHIN THE SITE,green-spaces hard-space places-where-local-events-take-place,PLACE OF EDUCATION - SCHOOL ACTIVITIES,trees bushes hedges green-backcloth-to-buildings,,,WILD BIRDS VISIT THE SCHOOL,pavements kerbs narrow-roads,SINGLE ACCESS - DOWN A SHORT CURVING DRIVE TO FRONT OF SCHOOL WITH A SMALL ALLOCATION OF ON SITE PARKING,,,VIEWS OUT TO THE NORTH EAST FROM THE TOP OF THE SCHOOL DRIVE ACROSS TO THE KELSTON HILLS IN THE DISTANCE,FROM LOCAL ESTATE ROADS,detached 1-storey,SINGULAR HORSESHOE SHAPED SCHOOL BUILDING SUB DIVIDED INTO CLASSROOMS,flat-roofs shallow-pitch,VERY SHALLOW PITCHED MAIN ROOF TO THE SCHOOL BUILDING,brick tile other hedges fences tarmac,,,,SCHOOL IS CENTRALLY LOCATED IN THE TOWN FAIRLY CLOSE TO SHOPS AND ON PUBLIC TRANSPORT ROUTES.,NONE
62,TEMPLE STREET EAST INCLUDING RIVERSIDE AND ST. CADOC - Note map area not in the Conservation Area,31/10/2013,cloudy,,FLAT,,LINEAR - BUILDINGS SET BACK A DISTANCE FROM THE ROAD - NO OBVIOUS CENTRE,,"WELL USED HARD SPACE, THE BUILDING STRUCTURES HAVE A FEW GAPS",,AREAS WITHOUT GREENERY,,"NOT USED AT ALL BY WILDLIFE, OCCASIONAL PIGEONS NESTING",,"WIDE FAIRLY STRAIGHT ROAD. PAVEMENT OF APPROXIMATELY 4 METRES WIDTH WITH KERBS, TIMES RESTRICTED ON STREET PARKING",,"LOCAL RESTAURANTS/SHOPS, THE TROUT & SHIPP INN PUBLIC HOUSES, THE NEW TOWN CENTRE DEVELOPMENT",OCCASIONAL INTERSPERSED VIEW OUT TO OTHER AREAS TO THE REAR OF TEMPLE STREET,VIEW INTO THE AREA FROM BOTH ENDS OF THE STREET (DAPPS HILL & HIGH STREET),,"WIDE FRONTAGE - OFFICE, RESTAURANT AND SHOP OUTLETS - 4 - 6 STOREYS IN PARTS, DETACHED PUBLIC HOUSE, DETACHED BLOCK OF RESIDENTIAL FLATS - 3 STOREY",,"FLAT ROOFS ON OFFICE, RESTAURANT & RETAILS OUTLETS, SHALLOW AND STEEP PITCHES TO PUB ROOFS, ST. CADOC HOUSE FLAT ROOFED",,"SOME COMMON MATERIALS - OFFICE, RESTAURANT & FLATS CONCRETE, BRICK FACED MULTI STOREY FLATS AND OFFICES, NO BOUNDARIES - PAVING STONE FRONTAGES",,THE SHIP INN HAS SEVERAL CHIMNEYS,"USEFUL RETAIL AREA, TOWN COUNCIL WINDOW DISPLAY PROVIDING USEFUL LOCAL INFORMATION","EMPTY RETAIL SPACE - ONE FACILITY, DESIGN OF STRUCTURES DO NOT MATCH THOSE OLDER STRUCTURES ON OPPOSITE SIDE OF STREET BUT THE BUILDINGS DO SERVE THEIR PURPOSE"
14,NORTH OF ST. FRANCIS ROAD INCLUDING BROADLANDS ACADEMY & BROADLANDS AVENUE,04/11/2013,dry,,SLIGHTLY SLOPING UPWARDS FROM EAST TO WEST FOLLOWING THE ROAD. BROADLANDS ACADEMY AND RESIDENTIAL AREA OF BROADLANDS ARE BUILT ON THE FLAT,regular buildings-well-set-back front-gardens back-gardens long-plots no-obvious-centre,"THE MAJORITY OF THE SITE PLAN IS TAKEN UP BY BROADLAND ACADEMY WHICH COVERS APPROXIMATELY 3.2 HA, THERE ARE ONLY FOUR INDIVIDUAL PROPERTIES AT THE OF ST. FRANCIS ROAD (NORTH OF THE ROAD) AND 26 PROPERTIES IN BROADLANDS AVENUE.",gaps-between-buildings green-spaces hard-space well-used,BROADLANDS ACADEMY - EDUCATIONAL ESTABLISHMENT - 762 STUDENTS BETWEEN THE AGES OF 11 AND 16 YEARS AS OF JANUARY 2012,trees bushes hedges areas-of-intense-greenery,THE ACADEMY HAS GREEN SPACE. ALONG THE CENTRE OF ST. FRANCIS ROAD DIVIDING TWO CARRIAGE WAYS IS A WIDE GRASS VERGE. (SEE PHOTO BELOW),area-used-for-wildlife-to-pass-through,,pavements kerbs grass-verges narrow-roads straight-roads cul-de-sacs on-plot-parking on-street-parking,BROADLANDS AVENUE IS A CUL-DE-SAC,,THERE ARE NO KEY LANDMARKS,NO REAL VIEWS OUT,VIEWS INTO THE ACADEMY AND BROADLANDS AVENUE FROM SOME PARTS OF ST. FRANCIS ROAD.,wide-frontages semi-detached 1-storey 2-storeys varied-shapes,THERE ARE SEVERAL BUNGALOWS LOCATED WITHIN THE SITE MAP AREA. HOUSING DESIGN IS VERY VARIED.,flat-roofs pitched-roofs,FLAT ROOF TO THE ACADEMY,some-common render tile walls hedges fences tarmac concrete,THE ACADEMY HAS A LONG GREEN METAL SLATED FENCE (SEE PHOTO BELOW),chimneys,,GOOD LOCATION FOR A SECONDARY SCHOOL ON THE OUTSKIRTS OF TOWN,LITTER GENERATED BY SCHOOL STUDENTS
59,"HAWTHORN LANE INCLUDING THE SURGERY, THE HAWTHORN CENTRE AND PROPERTIES ON SHERWOOD ROAD",06/03/2014,dry,flat,,linear buildings-close-to-the-road buildings-well-set-back front-gardens back-gardens long-plots thin-plots clear-centre,,gaps-between-buildings green-spaces hard-space places-where-local-events-take-place well-used,"KEYNSHAM COMMUNITY RESOURCE CENTRE AND THE SURGERY ARE VERY WELL USED, THE SHELTERED HOUSING WITHIN HAWTHORNS HOLDS EVENTS FOR THE LOCALS, (SEE PHOTO)",trees bushes hedges green-backcloth-to-buildings areas-of-intense-greenery,,,ONLY WILD BIRDS SEEN,pavements kerbs grass-verges narrow-roads straight-roads on-plot-parking on-street-parking parking-courts,LARGE CAR PARK SERVING THE RESOURCE CENTRE,,SURGERY,NO VIEWS OUT,VIEWS FROM NEARBY HOUSING,terraced semi-detached 1-storey 2-storeys 3-storeys varied-shapes,3 STOREY FLAT ACCOMMODATION IN HAWTHORNS,pitched-roofs varied-pitch,,some-common brick tile other walls hedges tarmac concrete,SHEET ROOFING ON HAWTHORNS (SEE PHOTO),,BAY WINDOWED PROPERTIES ON PARK ROAD,"GOOD SHELTERED HOUSING ACCOMMODATION IN BOTH HAWTHORNS CARE HOME AND IN THE SHELTERED HOUSING BUNGALOWS AND FLATS OFF HAWTHORN LANE, CLOSE TO LOCAL AMENITIES",ON STREET PARKING ON PARK ROAD AND SHERWOOD ROAD
12,"CHANDOS ROAD PLUS SUMMERLEAZE, DRYLEAZE, PRIORY ROAD AND THE SEWAGE WORKS",06/02/2013,overcast,flat,,linear grid-like winding buildings-close-to-the-road long-plots thin-plots no-obvious-centre,,gaps-between-buildings green-spaces places-where-local-events-take-place,NOT WITHIN THE SITE AREA BUT CLOSE TO IS THE SOMERDALE FRY'S CLUB AND SPORTS FACILITIES WHERE SOCIAL AND SPORTING GATHERINGS ARE HELD,trees bushes hedges green-backcloth-to-buildings,,area-used/inhabited-by-wildlife,ONLY BIRDS VIEWED BUT BEING CLOSE TO A LARGE GREEN OPEN SPACE AND THE RIVER AVON THERE HAS GOT TO BE NUMEROUS TYPES OF WILDLIFE,pavements kerbs grass-verges narrow-roads curving-roads cul-de-sacs through-roads on-plot-parking on-street-parking,"THE CUL-DE-SACS ARE SUMMERLEAZE AND DRYLEAZE, CHANDOS ROAD WAS A THROUGH ROAD LEAVING THE ESTATE OUT INTO THE SITE OF THE SOMERDALE FACTORY BUT DUE TO THE DEATH OF CHILD IN A TRAFFIC ACCIDENT MANY YEARS AGO THE FACTORY GATES WHERE CLOSED AT THIS POINT",,"THE DISUSED SOMERDALE (FRY'S CHOCOLATE FACTORY) THAT WAS ONCE ONE OF THE KEY INDUSTRIES OF KEYNSHAM. THE FACTORY IS SOON TO BE CONVERTED INTO APARTMENTS, OFFICE, RETAIL AND LIGHT INDUSTRY AS PART OF THE TAYLOR WIMPEY DEVELOPMENT WHICH WAS APPROVED ON 15TH FEBRUARY 2014, WITH WORKS SOON TO COMMENCE.",VIEWS OUT TO THE KELSTON HILLS AND THE HAMS,THERE WOULD HAVE BEEN VIEWS IN FROM THE CHOCOLATE FACTORY,narrow-frontages terraced semi-detached 2-storeys varied-shapes,,pitched-roofs varied-pitch,,some-common brick render tile hedges fences tarmac concrete,,,,"QUIET ESTATE CLOSE TO GOOD SPORTS FACILITIES, AMENITIES OF THE TOWN CENTRE AND KEYNSHAM STATION FOR COMMUTING","THE LOSS OF THE CHOCOLATE INDUSTRY AND THE RE-DEVELOPMENT AND ITS 430 HOUSES THAT ARE TO BE BUILT ON SOMERDALE, ADDING TO CONGESTION OF THE ROAD SYSTEM IN THIS AREA, CLOSE TO THE SEWAGE WORKS WHICH CAN BE A BIT SMELLY"
93,"NORTH OF WINDRUSH ROAD INCLUDING BREACHES FARM HOUSE AND BREACHES BUNGALOW, LAMBOURN ROAD, CHANDAGS SHOPS AND PROPERTIES ON CHANDAG ROAD AND WINDRUSH ROAD",,,flat,,front-gardens back-gardens thin-plots short-plots wide-plots,SHOPS - VARIOUS SHAPED PLOTS AS A NUMBER HAVE BEEN EXTENDED,gaps-between-buildings green-spaces hard-space well-used,,trees bushes hedges areas-without-greenery,,,USUAL GARDEN SHRUBS AND PLANTS AND SOME TREES. USUAL WILDLIFE SEEN IN GARDENS,pavements kerbs grass-verges narrow-roads straight-roads curving-roads cul-de-sacs through-roads on-plot-parking on-street-parking,,,NO - ONLY KELSTON TUMP,VIEWS OF KELSTON TUMP,,semi-detached 2-storeys common-shapes,,varied-pitch,,brick stone tile walls hedges fences,,,,SHOPS & SCHOOLS CLOSE BY,NONE
66,PARK ROAD PLAY AREA,18/11/2013,cloudy,flat,,,THE PLAYGROUND IS SURROUND BY BACK GARDENS,,IT IS A GREEN SPACE WITH PLAYGROUND EQUIPMENT AND IT IS WELL USED,trees,,,IT IS BELIEVED THAT IT IS NOT USED AT AL BY WILDLIFE,,,,THERE ARE NO LANDMARKS VISIBLE AS IT IS SURROUNDED BY HOUSING.,THERE ARE NO VIEWS OUT,THERE ARE NO VIEWS IN,,PROPERTIES SURROUNDING THE PALY AREA JUST OUTSIDE THE MAP SITE ARE TERRACED AND 2 STOREY.,,THE HOUSES HAVE PITCHED ROOFS,,THE PLAYGROUND AREA WITHIN THE GREEN SPACE IS SURROUNDED BY A CHAIN LINK FENCE,,NONE,"THE GREEN SPACE IS WELL USED BY YOUNG CHILDREN, YOUTHS PLAYING FOOTBALL AND BASKET BALL","AREA USED BY DOG WALKERS HENCE DOG FAECES, THE SITE CAN BECOME VERY WET IN WINTER MONTHS."
91,"ROCK HILL ESTATE INCLUDING ROCKHILL HOUSE, MOBILE HOMEPARK AND WORKS",04/11/2013,fine and clear,,FLAT,,BUILDINGS CLOSE TO THE ROAD. EACH HOME HAS A SMALL PLOT SURROUNDING IT.,,THERE ARE GAPS BETWEEN EACH HOME AND HARD SPACE,,,,"LITTLE WILDLIFE - SOME BIRDS, A FEW HEDGEHOGS, FROGS AND MICE",,THE ROADS ARE NARROW AND CURVING THE SITE IS A CUL-DE-SAC. THERE IS ON PLOT PARKING AND PARKING COURTS,,FROM THE ENTRANCE THERE ARE VIEWS ACROSS THE WELLSWAY TO THE VALLEY - FIELDS WITH THE RIVER CHEW RUNNING THROUGH IT.,FROM SOME PLACES ON ROCKHILL ESTATE THERE ARE VIEWS OVER THE CRICKET GROUND,FROM THE PATH ALONGSIDE THE FENCE AT THE EDGE OF THE CRICKET GROUND YOU CAN GET VIEWS INTO THE AREA.,,THE PARK HOMES ARE DETACHED 1 STOREY BUILDING OF VARIOUS SIZES AND AGES. SOME ARE TRAILER LIKE AND SOME ARE BUNGALOW-LIKE,,THE ROOFS TO THE PROPERTIES ARE SHALLOW PITCHED,,THE SITE IS MAINLY TARMAC WITH PAVING AND GRAVEL. THERE AE SOME LOW STONE WALLS. THE STRUCTURES AND MOBILE HOMES,,"THE HOMES ARE DIFFERENT COLOURS, DESIGNS AND HAVE DIFFERENT CLADDING. THE INDIVIDUAL GARDENS CONTRIBUTE TO THE CHARACTER OF THE SITE",THE SITE HAS A PEACEFUL FRIENDLY ATMOSPHERE. MANY GARDENS ARE WELL-MAINTAINED. THERE IS NO THROUGH TRAFFIC. THE OLD STONE/BRICK BUILDINGS ON SITE ARE GRADUALLY BEING RENOVATED. OLD MOBILE HOMES ARE GRADUALLY BEING REPLACED BY NEW HOMES AND THE PLOTS HAVE IMPROVED.,THERE IS A LACK OF MATURE TREES AND OTHER VEGETATION. THERE IS NOT ENOUGH GREENERY
49,"SOUTH OF QUEENS ROAD INCLUDING ST. FRANCIS CHURCH AND VICARAGE, PRINCESS CLOSE, CAMEROONS CLOSE AND A FEW PROPERTIES EAST OF TENBY ROAD AND WEST OF PARK ROAD",01/02/2014,dry,hilly shallow,,buildings-well-set-back front-gardens back-gardens no-obvious-centre,,gaps-between-buildings green-spaces hard-space,,trees bushes hedges green-backcloth-to-buildings,,area-used-for-wildlife-to-pass-through,UNKNOWN FOR DEFINITE,pavements kerbs grass-verges wide-roads wide-roads-wide cul-de-sacs through-roads on-street-parking parking-courts,,,ST. FRANCIS CHURCH,,YES,wide-frontages narrow-frontages detached 1-storey 2-storeys,MIXED,pitched-roofs steep-pitch varied-pitch,,nothing-common stone tarmac paving-stones,,porches window-shapes,,PLENTY OF SPACE. SOME LARGE HOUSES,BUSY ROADS
70,BROADMEAD INCLUDING BROADMEAD INDUSTRIAL ESTATE AND LANDING STAGES,03/01/2014,grey overcast,flat,,buildings-well-set-back,"BROADMEAD LANE INDUSTRIAL ESTATE IS AN ESTABLISHED BUSINESS LOCATION, SITUATED TO THE NORTH OF ASHMEAD TRADING ESTATE GIVING ACCESS TO THE A4 KEYNSHAM BYPASS BETWEEN BRISTOL AND BATH. NON RESIDENTIAL AREA. ACCESS VIA A NARROW TARMACED LANE - ACCESSED THROUGH A LOW BRUNEL RAIL BRIDGE.",gaps-between-buildings green-spaces hard-space well-used,WELL USED COMMERCIALLY,trees bushes hedges green-backcloth-to-buildings areas-of-intense-greenery,,area-used/inhabited-by-wildlife,"THIS SITE INCLUDES THE BROADMEAD LANE INDUSTRIAL ESTATE THAT SITS ADJACENT TO THE RIVER AVON AND IS SURROUNDED BY GRASSLAND, GRAZING AND ARABLE LAND TO THE SOUTH. THE SURROUNDING GREEN BELT COUNTRYSIDE AND RIVER SIDE LOCATION IS A GOOD HABITAT FOR WILDLIFE",grass-verges drainage-ditches narrow-roads,"NARROW SINGLE TRACK NO THROUGH ROAD ACCESSED VIA GOING THROUGH A LOW STONE BRUNEL RAIL BRIDGE, THERE IS ON SITE PARKING AT THE ACTUAL INDUSTRIAL ESTATE",,THE SEWAGE WORKS IN NEARBY FIELDS ARE JUST VISIBLE,THERE ARE VIEWS OUT ACROSS THE A4 TO KEYNSHAM HAMS AND WILLSBRIDGE,THERE ARE VIEWS IN FROM THE RIVER AND SURROUNDING COUNTRYSIDE,wide-frontages narrow-frontages terraced semi-detached 1-storey 2-storeys varied-shapes,THERE ARE 13 UNITS ON SITE SOME OF WHICH ARE SUB-DIVIDED,flat-roofs varied-pitch,,nothing-common brick stone render tile other walls hedges fences tarmac concrete,"BELOW IS A DESCRIPTION OF SOME OF THE UNITS, UNITS 3, 4/5 & 6 COMPRISE OF A TERRACE OF MODERN STEEL PORTAL FRAMED INDUSTRIAL UNITS WITH FULL HEIGHT STEEL ROLLER SHUTTER DOORS AND ELEVATIONS OF PART BLOCK AND PART PROFILE STEEL CLADDING WITH A STEEL INSULATED PITCHED ROOF, UNIT 6 HAS BEEN FITTED AS A TWO STOREY UNIT, UNITS 11 B/C IS OF A TRADITIONAL STONE WALL CONSTRUCTION UNDER A PITCHED CLAY TILE COVERED ROOF WITH AN ATTRACTIVE GLAZED ELEVATION GIVING VIEWS ONTO THE RIVER AVON.",,,PROVISION OF OUT OF TOWN INDUSTRIAL UNITS/WORKSHOPS,TWO THIRDS OF THE SITE IS WITHIN THE EA FLOOD ZONE (SEE SITE MAP ENCLOSED SHOWING FLOODING ZONE) - PHOTO OF FLOODS 2012
